Revision History,,,,
,,,,
,,,,
,,,,
V#,Date,Author,Reviewer(s)/ Contributor(s),Comments
1.0,02/16/23,Ambily Raj/Jishnu,Shijila M/ Rameshwar Singh,
1.1,03/13/23,Ambily Raj/Jishnu,Shijila M/ Rameshwar Singh,"Removed the mapping logic for  /professionalClaim/memberInformation/  tag in the 2000B and 2010BA Loop. Expectaion is  /professionalClaim/memberInformation/ tag will be mapped from 2000C and 2010CA loop  for dependent claims.
Removed the mapping logic for /institutionalClaim/memberInformation/tag in the 2010BA Loop and Edpectation is
/institutionalClaim/memberInformation/ tag will mapped from 2010CA loop  for dependent claims."
1.2,45049,Ambily Raj/Jishnu,Shijila M/ Rameshwar Singh,Changed the mapping for /header/correlationId and /recordId for 837I and P.
1.3,06/02/2023,Ambily Raj,Shijila M/ Rameshwar Singh,Cosmetic changes done for 837P and changed the mapping of  /recordId  for 837P and 837I
1.4,06/08/2023,Ambily Raj,Shijila M/ Rameshwar Singh,Changed the mapping of  /XMLFileCreationDate  for 837P and 837I
1.5,06/09/2023,Jishnu,Shijila M/ Rameshwar Singh,"2300.REF01/REF02 – Added Enumeration values.
2320.SBR01 - Added more details in Transformation logic .
2010BA – Added more details in Comments. No change in logic
2300.PWK01 - Added more detail in comments for attachment type code"
1.6,06/09/2023,Jishnu/Ambily,Rameshwar Singh,2320.SBR01 - Added more details in Transformation logic .
1.7,06/09/2023,Jishnu/Ambily,Rameshwar Singh,Made changes in mapping default value tab for file  creation date format
1.8,06/28/2023,Jishnu/Ambily,Rameshwar Singh,Reframed enumeration values2000B.SBR02  and added logic for SBR03
1.9,07/05/2023,Jishnu/Ambily,Rameshwar Singh,"2430.DTP03 removed repricer response date mapping as its not required for Inbound claims
Corrected /taxamount mapping for COB.
Removed CN1 Mapping"
1.10,07/13/2023,Jishnu/Ambily,Rameshwar Singh,"Removed mapping for 2400.AMT02(Service Tax amount and Facility Tax amount)
Added mapping for below tags in 2430.CAS.
Removed mapping for HCP segment"
1.11,07/13/2023,Jishnu/Ambily,Rameshwar Singh,"Added transformation logic for 2300.CLM07 -Assignment acceptance in 837P &837I
Added transformation logic for 2400.SV104 -837P
Added Mapping for 2330B.DTP03 -837I/P
Added Mapping for 2010BA. N4
Added Mapping to 2010CA.N4"
1.12,07/13/2023,Jishnu/Ambily,Rameshwar Singh,"Added mapping for HCC Claim line number -2400.LX1 in 837P
Corrected mapping logic for /serviceLineItem/renderingPractitionerSpecialty  from 2000A.PRV03"
1.13,07/13/2023,Jishnu/Ambily,Rameshwar Singh,Added transformation logic for 2010BA.NM109
1.14,08/24/2023,Jishnu,Rameshwar Singh,Added transformation logic for  diagnosis code  2300.HI for Both professional and Institutional
1.15,11/9/23,Jishnu,Rameshwar Singh,Added EDI File Type in 837P Base Mapping(Default Val) and 837I Base Mapping(Default Val)
1.16,11/21/2023,Jishnu,Rameshwar Singh,Added mapping for Institutional  2000A.PRV03
1.17,11/28/2023,Jishnu,Rameshwar Singh,"Added logic for 2010AA.PER 03
Added crosswalk table for PWK
Added mapping logic in 2400.DTP"
1.18,1/17/24,Jishnu,Rameshwar Singh,"Added mapping for -837I 2330B NM109 (NM1*PR)
Added mapping for - 837P 2430 CAS codes
Added mapping logic for PER segment 837P"
1.19,2/5/24,Jishnu,Rameshwar Singh,"PSD1569- Added qualifier ""DN"" for 2310A.NM101' (Professional)
PSD 1616- Added logic only two digit allowed after decimal point for allowed amount (Inst & Prof)
PSD1640-
1)added mapping in 2400.SV101-7  ServiceDescription under serviceLineItem(Both Institutional and Professional).
2)2010AA.N302 to the second instance of street address (inst)
3)2310C.N302 to the second instance of street address (prof)"
V2.0,4/4/24,Ambily,Rameshwar Singh,Changes for INTP-7868. -  Added mapping for /sourceTypeIdentifier  (Institutional/Professional)
V2.1,5/17/24,Ambily,Rameshwar Singh,"Changes for INTP-8520. - Added mapping for /recordId  (Institutional/Professional)
Changes for PSD-2335 - Updated mapping for 2010AA.PER Segment"
,7/24/24,SwedhaKumar,Ambily Raj,"Changes for INTP-9238 - Updated the 2300 HI segment, removed mapping for multiple occurances as the target max occurence is one.
Changes for INTP - 9197 - Updated the 2300CRC segment, removed mapping for multiple occurances (CRC04, CRC05) as the target max occurence is one."
,8/9/24,SwedhaKumar,Ambily Raj,"Changes for INTP-9450 - Updated the Prof mapping - 2300.CLM02 segment mapping logic ie., Map CLM02 <billedAmount> only when 2320.CAS  is pesent"
V2.2,9/19/24,Ambily Raj,Rameshwar Singh,Changes for INTP-10071: Claims Lifecycle Notification changes.
,10/24/24,Ambily Raj,Rameshwar Singh,Changes for PSD-3735: To load Referring Practitioner details(837I)
